,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name
0,0.28,0.724,207333,0.647,2rPE9A1vEgShuZxxzR2tZH,0.0,1,0.102,-5.642,1,0.0658,106.96,4,0.435,Ariana Grande,207333,94,2018,2018-11-03,"thank u, next"
1,0.371,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323,Lady Gaga,215733,96,2018,2018-10-05,Shallow
2,0.0783,0.975,182741,0.535,01IQ4aQgOf0Kkq3a273hmO,0.0,1,0.107,-7.227,1,0.196,125.066,4,0.671,Dave,182741,77,2018,2018-10-04,Funky Friday
3,0.0119,0.781,213309,0.768,5N5k9nd479b1xpDZ4usjrg,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486,Calvin Harris,213309,91,2018,2018-08-17,Promises (with Sam Smith)
4,0.555,0.56,173800,0.68,0d2iYfpKoM0QCKvcLCkBao,0.0,6,0.116,-7.648,0,0.321,89.391,4,0.319,benny blanco,173799,91,2018,2018-07-12,Eastside (with Halsey & Khalid)
5,0.0589,0.835,217925,0.626,2G7V7zsVDxg1yRsu7Ew9RJ,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35,Drake,217925,89,2018,2018-06-29,In My Feelings
6,0.286,0.672,201287,0.735,4ofwffwvvnbSkrMSCKQDaC,0.0,5,0.242,-4.733,1,0.0457,115.741,4,0.754,George Ezra,201287,88,2018,2018-03-23,Shotgun
7,0.0441,0.737,222653,0.636,6kPJZM97LwdG9QIsT7khp6,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,0.565,Clean Bandit,222653,87,2018,2018-05-17,Solo (feat. Demi Lovato)
8,0.0228,0.623,193924,0.851,083Qf6hn6sFL6xiOHlZUyn,0.0,7,0.12,-3.111,1,0.0409,100.063,4,0.4,Jess Glynne,193923,82,2018,2018-05-03,I'll Be There
9,0.037,0.791,214847,0.862,7ef4DlsgrMEH11cDZd32M6,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,Calvin Harris,214846,89,2018,2018-04-06,One Kiss (with Dua Lipa)
10,0.0934,0.567,210926,0.913,1cTZMwcBJT0Ka3UJPXOeeN,0.000124,8,0.114,-6.471,1,0.0736,93.35,4,0.792,Drake,210925,28,2018,2018-04-06,Nice For What
11,0.147,0.755,216632,0.599,10Igtw8bSDyyFs7KIsKngZ,0.0,8,0.109,-5.042,1,0.224,133.123,4,0.755,Lil Dicky,216631,82,2018,2018-03-15,Freaky Friday (feat. Chris Brown)
12,0.194,0.653,210773,0.809,5CLGzJsGqhCEECcpnFQA8x,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55,Rudimental,210772,86,2018,2018-01-19,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"
13,0.0283,0.755,198960,0.448,6T8cJz5lAqGer9GUHGyelE,3.28e-05,7,0.514,-9.587,1,0.107,77.179,4,0.318,Drake,198960,25,2018,2018-01-20,God's Plan
