,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name,chart_random
0,0.8290000000000001,0.0915,170620,0.217,0US0m6Qcp1sVlmAoBSA8UW,0.856,9,0.0835,-19.805999999999997,0,0.0368,86.363,4,0.26899999999999996,Wilhelm Metz,170620,0,2014,2014-08-18,Der praktische Organist in D Major: Fuge mit voller Orgel,0
1,0.78,0.7390000000000001,197533,0.513,4cgEqZJyreoqOHZszsInSt,0.0,5,0.0794,-5.843,1,0.0498,72.94800000000001,4,0.965,Jorge Velosa y Los Carrangueros,197533,10,2014,2014-04-13,Sin Dinero y Sin Calzones,0
2,0.0382,0.10400000000000001,213995,0.621,2egsIf0TKpoHekgMSbh12v,1.85e-06,8,0.147,-14.269,0,0.0479,79.922,4,0.34700000000000003,The Infamous Gehenna,213995,1,2012,2012-10-09,Amphetamine Psychosis,0
3,0.145,0.608,301293,0.536,2CdRKOgyQRFVoGaiHrQeiC,0.0,10,0.14300000000000002,-8.201,1,0.0744,153.963,4,0.0799,Don-Tino,301293,0,2011,2011-02-25,Rims I Spin (feat. Vogue & The Xtended Don),0
4,0.000279,0.6809999999999999,209160,0.894,3ZNLS2cjNavn9va5d5afsq,0.22,6,0.35,-8.078,0,0.0408,122.99799999999999,4,0.893,Speechless Project,209160,0,2014,2014-11-18,Playhouse,0
5,0.779,0.47200000000000003,98840,0.076,4GmiBSCAEJaHjl18NBpg3Z,0.0024100000000000002,11,0.132,-16.548,0,0.0403,92.2,4,0.489,Tomaso Albinoni,98840,9,2016,2016-03-01,"12 Trio Sonatas, Op. 1, Sonata VIII in B Minor Talm I, 8: II. Allegro",0
6,0.56,0.287,240017,0.612,5CqL60AEZZnJmywYsN5v5U,0.0,7,0.387,-7.007999999999999,1,0.0306,183.544,3,0.594,De Kroegadours,240017,0,2017,2017-07-12,Esse Wils,0
7,0.377,0.649,117915,0.272,6t8Z3eDeSxo3KCxzwNajga,0.0,6,0.18,-13.509,0,0.956,87.32700000000001,4,0.35600000000000004,Reclam Hörbücher,117914,4,2018,2018-03-16,"Deutschland. Ein Wintermärchen - Caput VI, Teil 2",0
8,0.0516,0.396,317864,0.7809999999999999,0vSe0Sn5otkpzOEYLH4Ylf,0.0513,2,0.166,-5.295,1,0.0271,159.97799999999998,3,0.359,Komie,317864,1,2018,2018-06-08,Cirrus Flow,0
9,0.00112,0.23399999999999999,728480,0.935,2U3Rf6aITR6QC9fRNrctxS,0.297,9,0.703,-6.08,0,0.18,94.43299999999999,3,0.12300000000000001,Opeth,728480,35,2018,2018-11-02,Ghost of Perdition - Live,0
10,0.0435,0.523,215889,0.777,2iaMft2kGNAttCagOxcLUh,0.6920000000000001,11,0.0495,-11.568,0,0.0297,129.009,4,0.379,2010s Karaoke Band,215889,0,2012,2012-10-28,Don't You Worry Child (Originally Performed By Swedish House Mafia) [Karaoke Audio Version],0
11,0.375,0.212,129286,0.8690000000000001,4rChwm7wBPgKjiSFJtuafJ,0.924,4,0.157,-7.855,1,0.0791,164.422,4,0.154,Rubythroat,129285,0,2018,2018-01-17,Red Honda Civic,0
