,Unnamed: 0,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name
0,0,0.677,0.217,342689,0.0070599999999999994,5i3NO7lO0oe0bdarCIKAXR,1.56e-05,1,0.23600000000000002,-29.123,0,0.0459,136.064,4,0.0398,Kristina Wolfe,342689,0,2010,2010-07-12,Consort for One
1,1,0.0131,0.326,229987,0.955,0VISY4760izO5Tail5vrou,0.0024,9,0.235,-3.4730000000000003,1,0.0495,138.642,4,0.579,wander wildner,229986,35,2008,2008-09-20,Amigo Punk
2,2,0.209,0.527,244760,0.696,0giXVXp0YZg1hqZkxivvZJ,0.0,1,0.0516,-6.015,0,0.361,100.61399999999999,4,0.499,Ciara,244760,24,2006,2006-01-01,Can't Leave 'Em Alone (feat. 50 Cent)
3,3,0.97,0.638,61893,0.475,7ouK5fOA8MpgYS3w5TjlUp,6.31e-06,10,0.915,-17.185,1,0.929,69.766,3,0.836,Joe Perham,61893,0,2010,2010-02-01,Woman's Exchange
4,4,0.00183,0.474,250441,0.941,3DnaxhOxVHvcnShShYoTlC,1.52e-06,1,0.5479999999999999,-4.2330000000000005,0,0.0605,134.998,4,0.451,Fates Warning,250441,17,2018,2018-06-29,Pale Fire - Live 2018
5,5,0.537,0.261,416707,0.475,1gDyg4xNSgjogJjwh1s349,1.95e-05,11,0.0962,-9.595,1,0.0467,74.933,4,0.462,iEC Live,416706,8,2014,2014-04-06,Here In Your Presence - Live
6,6,0.757,0.816,133507,0.353,230qQZvAd8Sp0sxbCKFZpU,0.0,2,0.115,-15.88,1,0.312,116.948,4,0.591,Starmyname,133506,0,2010,2010-01-01,La petite souris de Lilyan
7,7,0.00249,0.813,358588,0.564,1wdqv5VdrES0w8Xl4bNFrS,0.0112,10,0.0347,-6.9670000000000005,0,0.133,126.985,4,0.767,Erick Decks,358587,18,2007,2007-06-04,Wild Obsession (Klaas Remix)
8,8,0.0010400000000000001,0.0624,282593,0.486,4EvsEZtWYsN1ojMYLwhKUl,0.9179999999999999,4,0.406,-14.113,0,0.0598,192.07,4,0.0383,Femme,282593,0,2017,2017-11-10,A5
9,9,0.617,0.7170000000000001,212126,0.249,2hSWHTJ7uiR0NmhNmDMdql,1.31e-06,5,0.0724,-13.786,1,0.9079999999999999,126.611,4,0.262,Sarah Mlynowski,212125,0,2017,2017-01-01,"Showing Off - Upside-Down Magic 3, Chapter 53"
10,10,0.531,0.327,153652,0.537,3bMDB1nQmrlPUYVg1nrQiP,0.131,0,0.205,-9.93,1,0.0278,182.44299999999998,4,0.9159999999999999,Helge Borglund,153652,2,2014,2014-05-12,Piken i dalen
11,11,0.0833,0.611,229488,0.7909999999999999,7ilYi3cDuuzKN2iFqwsTRG,0.0,11,0.259,-3.7910000000000004,1,0.174,145.921,4,0.8340000000000001,Rawcus,229488,0,2016,2016-01-11,Power Like Obama
12,12,0.22899999999999998,0.929,236308,0.439,2gIGAUV9xL2BF50n4eYIw9,0.000594,1,0.182,-10.255,0,0.2,129.904,4,0.847,Cool Caddish,236307,17,2016,2016-01-01,La katana
13,13,0.8320000000000001,0.265,252963,0.311,4wO8ugpMA8oQVHoNWloD4X,0.9129999999999999,7,0.0912,-14.235999999999999,0,0.0347,79.982,4,0.0389,Dan Cullen,252962,1,2016,2016-03-11,Seraphim
14,14,0.9940000000000001,0.5,129175,0.142,67d0wxVDzsx315qHz1mXgO,0.838,7,0.155,-21.261999999999997,1,0.0587,77.265,4,0.253,Aroma Love,129175,0,2014,2014-10-21,With one word of love
15,15,0.956,0.40299999999999997,157853,0.161,5IGpqTJSi9sgLzXEVIXdRD,0.914,5,0.111,-22.566999999999997,1,0.034,76.462,4,0.254,Klaus Ignatzek,157853,0,2018,2018-10-05,Caffeine
16,16,0.925,0.207,800200,0.0244,4w9oPX32R2tyhZNG8DYExq,0.0532,0,0.0723,-24.88,1,0.0373,98.554,4,0.0774,Ludwig van Beethoven,800200,31,1991,1991-06-01,"Beethoven : Symphony No.6 in F major Op.68, 'Pastoral' : I Allegro, ma non troppo"
17,17,0.696,0.557,292053,0.826,2ak4I80N2OGPWMLIeeXLfK,0.00216,5,0.304,-5.63,1,0.0386,103.89299999999999,4,0.868,Perico Hernandez,292053,6,2009,2009-01-01,Nuevo Ritmo Omelenko (feat. Poncho Sanchez)
18,18,0.935,0.575,74720,0.0426,4rm0E17t9Z5oF8oe7WRn8T,1.59e-05,2,0.48,-25.316,1,0.0365,55.169,4,0.5710000000000001,Henry Purcell,74720,1,2001,2001-01-01,"The Fairy Queen, Z.629 - Ed. Britten, Holst, Pears / Act 1: ""Here's the Summer, Sprightly Gay"""
19,19,0.545,0.7509999999999999,132093,0.557,1tK58m2iXmKSNIrrfxH3ku,0.758,9,0.0755,-10.749,1,0.0404,120.81200000000001,4,0.892,Duane Andrews,132093,0,2004,2004-01-01,Pique Point Reel
20,20,0.0218,0.825,268480,0.7929999999999999,2OIqPWyv1lTx5NAJGiofjD,1.06e-05,0,0.08,-3.94,1,0.218,187.97,4,0.8959999999999999,Mr.C the Slideman w/Steve Butler feat. J-Dub and Marshall(of t,268480,0,2005,2005-01-01,Hold Up (ext. Mix)
21,21,0.153,0.664,245040,0.782,6QYyYQMTqAY4CzVsxbCcIf,0.000188,2,0.122,-6.343,1,0.214,88.69,4,0.516,Jill Scott,245040,9,2007,2007-10-26,Whenever You're Around feat. George Duke
22,22,0.7879999999999999,0.68,168693,0.514,3TowsBR21JhJC24uzw5ARV,0.0,5,0.364,-14.661,1,0.121,134.25799999999998,4,0.8240000000000001,Monsters Of Rock,168693,0,2011,2011-11-11,Laughing Gnome - David Bowie Tribute Mix
23,23,0.775,0.47,258334,0.336,6OW8glOkTFV4brDrTOm27W,0.43799999999999994,7,0.0656,-19.519000000000002,1,0.0332,143.214,4,0.358,Antonietta,258333,7,1991,1991-04-27,Como un Día Domingo
24,24,0.498,0.517,270507,0.6920000000000001,2lfBXP6ogmfblt919V22pR,4.2999999999999995e-06,11,0.0682,-5.0760000000000005,0,0.0429,153.991,4,0.7879999999999999,Monir Khan,270506,0,2017,2017-07-16,Koto Bhalobashte Pari
25,25,0.0006349999999999999,0.45799999999999996,141973,0.9490000000000001,2k6Had2rTgENRxNwUfpSQr,0.0,4,0.375,-2.616,0,0.0387,77.6,4,0.5710000000000001,The Penguin Band,141973,6,2013,2013-01-01,Anchors Aweigh
26,26,0.706,0.633,247339,0.254,2E2SXFhCZfPLVn7U1sCnSu,0.0,10,0.237,-19.042,0,0.961,86.62700000000001,3,0.47700000000000004,Jacques Berndorf,247338,8,2019,2019-01-02,"Der letzte Agent - Ein Siggi-Baumeister-Krimi, Kapitel 99"
27,27,0.000521,0.799,482743,0.769,6LFAEYM0sJYkzuf08804Ja,0.777,11,0.0859,-10.238,1,0.0812,122.01,4,0.284,Sebastian Busto,482742,5,2018,2018-03-05,Chronos - Nishan Lee Remix
28,28,0.904,0.255,342556,0.28600000000000003,5fiTw2Zc9elcb69HRbYrlq,0.873,10,0.28800000000000003,-17.049,0,0.0411,94.55799999999999,4,0.273,Béla Babai,342555,0,2014,2014-10-06,Airs tziganes Russes
29,29,0.544,0.7020000000000001,176000,0.742,0APh6BGdGx3kxK87dkiCHv,0.0,1,0.381,-5.315,0,0.111,120.009,4,0.659,Tomi Thomas,176000,0,2016,2016-06-15,Mechanic
30,30,0.18600000000000003,0.755,232615,0.9309999999999999,6i8w8Zdud22ehgJrrzqIVi,5.11e-05,6,0.10400000000000001,-3.3760000000000003,0,0.0693,129.97799999999998,4,0.742,Wiley,232615,58,2013,2013-03-29,"Can You Hear Me? (ayayaya) (feat. Skepta, JME & Ms D)"
31,31,0.517,0.767,179204,0.664,2G8OD1RHxRuMFCJAKYDTOe,0.0,11,0.8340000000000001,-10.017999999999999,0,0.15,142.028,4,0.757,Trouble The Aviator,179204,0,2018,2018-12-21,Replaceable
32,32,0.00335,0.364,338640,0.474,5F3d3WYNBTpFw6vAYh5ycy,0.84,1,0.11199999999999999,-11.481,1,0.0603,69.33800000000001,3,0.195,Fabrics,338640,0,2014,2014-09-01,Sad Modem
33,33,0.7040000000000001,0.706,268147,0.34700000000000003,3Z2AdF5G1S8T10S0X8SHaG,0.0021100000000000003,9,0.321,-11.324000000000002,0,0.0349,116.81700000000001,3,0.456,The Bus Boys,268146,0,2000,2000-01-01,Sunday Mornings
34,34,0.00028199999999999997,0.48700000000000004,281040,0.878,06hYTFM4TjEBQvYwldfLKM,0.00205,9,0.391,-5.2379999999999995,1,0.0798,150.072,4,0.519,Planetshakers,281040,12,2006,2006-01-01,Lift Your Name Up
35,35,0.0235,0.6609999999999999,202280,0.723,7zhji8wHBlFCs7utyXpVnU,0.000325,5,0.11599999999999999,-6.32,1,0.0237,99.007,4,0.545,Lorek - Williams,202280,0,2010,2010-03-09,The Comedown
36,36,0.0348,0.7120000000000001,121051,0.29600000000000004,1jOYHPVMJewVLUgVLnplCb,0.435,9,0.129,-12.215,0,0.0389,145.14,4,0.252,L3,121051,33,2018,2018-11-07,Bill It
37,37,0.0152,0.43200000000000005,211680,0.7759999999999999,6M69lSKKH2id01UXyp7Vk9,0.0153,8,0.8340000000000001,-3.4739999999999998,1,0.0443,128.03799999999998,4,0.667,HIM,211679,53,2005,2005-09-26,Wings of a Butterfly
38,38,0.0018899999999999998,0.619,353080,0.9790000000000001,3P9XF20emOK1Os4fsVtVSN,0.608,8,0.046,-5.562,1,0.0459,139.988,4,0.531,Rocco,353080,22,2015,2015-01-30,"One, Two, Three"
39,39,0.126,0.57,219768,0.635,484AcDLBLS56Ny1OMjndAr,1.06e-06,6,0.11,-9.369,0,0.37,114.57700000000001,5,0.363,Pasha Paroh,219768,0,2016,2016-01-15,Met Onda Sq
40,40,0.972,0.32799999999999996,213853,0.141,1hIyVmB6tdlu39AXTqhTC7,0.9,4,0.14400000000000002,-22.754,0,0.046,171.722,4,0.159,Jan Johansson,213853,25,1968,1968-01-01,Klara stjärnor
41,41,0.722,0.342,172136,0.24,6retgInnrrqDQA8b7kkuSD,0.0,10,0.0893,-9.486,1,0.0381,44.148,4,0.38,Magnus Vil,172135,18,2017,2017-10-20,Uden Dig
42,42,0.0867,0.529,206289,0.7290000000000001,54V1WpbmQPp31xNhSghtyi,0.0,1,0.21,-13.470999999999998,0,0.41100000000000003,109.339,5,0.418,Shonyea Bengazi,206288,10,2017,2017-03-13,Working for It (feat. Rammy Ramos)
43,43,0.21899999999999997,0.804,166000,0.7020000000000001,5lexvo2PzbsJYesH2N6dru,2.52e-06,4,0.0617,-8.482000000000001,1,0.033,100.03200000000001,4,0.716,Terry Parsons & the Local Band,166000,0,2009,2009-01-01,My Bell Island Dickey Bird
44,44,0.7020000000000001,0.7340000000000001,123368,0.226,0E8S5Fa9VnffEm6yd3csEb,0.0,11,0.132,-15.692,0,0.968,77.382,4,0.20600000000000002,Ben Counter,123367,10,2019,2019-02-01,"Galaxis in Flammen - Die Häresie offenbart sich - The Horus Heresy 3, Track 22"
45,45,0.951,0.263,55893,0.121,5Stz8Twv4S2FmGuI0CgbZv,0.0928,10,0.21600000000000003,-24.326,1,0.04,87.45299999999999,3,0.204,Jean-Baptiste Lully,55893,0,2019,2019-02-08,"Miserere, LWV 25: X. Cor mundum crea"
46,46,0.855,0.473,292720,0.275,29zsXdgiPV134pV71TrkY0,0.0383,0,0.764,-15.524000000000001,1,0.0354,132.05100000000002,4,0.13,Steven Wilson,292720,17,2012,2012-09-21,Postcard - Live
47,47,0.9890000000000001,0.174,258627,0.249,75qbgnn8F2zTrA23sJ6bAq,0.0196,3,0.222,-17.308,0,0.0799,78.145,4,0.19,Johann Sebastian Bach,258626,19,2014,2014-03-05,"Matthäuspassion, BWV 244: 27. Arie und Chor. ""So ist mein Jesus nun gefangen"" (Sopran, Alt)"
48,48,0.644,0.49200000000000005,105080,0.42700000000000005,3IOGTNpv2sfMJ0La6FErKP,0.00331,5,0.326,-10.191,1,0.033,96.081,4,0.5539999999999999,Die Biene Maja,105080,7,1977,1977-03-11,Maja und der Blumenelf - Teil 06
49,49,0.856,0.62,105628,0.19399999999999998,4BrDktRGhF25TxVvXYpcdu,0.0,5,0.105,-23.22,1,0.8809999999999999,77.655,3,0.831,Missionário RR Soares,105627,0,2018,2018-08-01,23º Dia: O Justo É Diferente do Religioso
50,50,1.68e-06,0.456,277058,0.9790000000000001,2U5iwJO63Gqpi2P1N8rLXe,0.893,1,0.10099999999999999,-3.82,1,0.0592,174.91400000000002,4,0.35600000000000004,DJ Sideeffect,277058,0,2014,2014-11-04,Bubbling - Original Mix
51,51,0.9009999999999999,0.515,138571,0.267,282qtG2JR67nKeZ7AlxUzP,0.628,8,0.124,-11.493,0,0.033,126.054,3,0.1,Smooth McGroove,138571,20,2017,2017-03-10,"Lake Hylia (From ""Zelda: Twilight Princess"") - A Cappella"
52,52,0.0221,0.635,255610,0.72,2QHeg4VKm9IHwsWxyij5Uc,7.140000000000001e-05,10,0.11199999999999999,-6.2139999999999995,0,0.20800000000000002,122.916,4,0.493,Sunset Child,255609,21,2017,2017-06-06,Missing - Ocean Drive Mix
53,53,0.384,0.7390000000000001,177453,0.643,1c02gWUkSwfkQwZdbDDvbg,0.0,0,0.34,-7.6979999999999995,0,0.0387,141.5,4,0.8,Elisa Chan,177453,6,2014,2014-05-22,再見Sayonara
54,54,0.995,0.6629999999999999,154467,0.012,3EckvKKDO4nvbJaDRaaNLf,0.956,5,0.106,-30.787,0,0.0392,134.752,4,0.47700000000000004,George Van Eps,154466,9,1992,1992-01-01,Lap Piano - Instrumental
55,55,0.162,0.6920000000000001,298920,0.657,0QFlGMzFvfhqG2gVIooleP,0.0,4,0.23199999999999998,-8.606,0,0.23600000000000002,77.027,4,0.281,Lanes,298920,0,2016,2016-11-19,Monkey's Dance
56,56,0.924,0.0,9495,0.021,0USJUKy28ivzzj15ZJH95W,0.973,1,0.11,-41.681999999999995,1,0.0,0.0,0,0.0,Noah Smith,9495,0,2013,2013-07-30,Long Diffuse Impact 2 Sound Effect
57,57,0.983,0.11599999999999999,101723,0.0705,4WPx16CS14Os30JKG82Zh6,0.9940000000000001,11,0.0929,-26.294,0,0.0354,78.499,4,0.0459,Lorenz Dangel,101722,4,2018,2018-12-14,Breakup
58,58,0.0712,0.741,328635,0.882,03lSvZWJZNaqw680kvUrR5,0.369,10,0.222,-2.603,0,0.0451,130.041,4,0.63,Suga7,328634,2,2017,2017-04-17,Splash
59,59,0.0105,0.409,294728,0.6579999999999999,4EGu0laQLPFWvkb04u4Nhu,0.0,7,0.113,-6.362,0,0.436,74.55,4,0.41700000000000004,Dope Boy Tone,294727,0,2017,2017-11-29,How (feat. Young Devi & Shoddy Boi)
60,60,0.961,0.33899999999999997,128080,0.0159,5RHxIFLihVigonkEa1JPId,0.00116,2,0.11800000000000001,-27.565,1,0.049,82.889,4,0.447,George Frideric Handel,128080,3,2009,2009-01-01,"Israel in Egypt, HWV 54, Act II, Scene 29: Thou Didst Blow with the Wind (Aria)"
61,61,0.737,0.603,221424,0.45399999999999996,12s0vFDpzFJ52xmeAajIvQ,2.12e-06,7,0.0699,-16.239,0,0.544,87.70700000000001,4,0.512,Al K,221424,0,2017,2017-09-08,Double Entendre
62,62,0.0014,0.892,430591,0.546,7tG9LosFgd3bEvwZhAPMyg,0.34299999999999997,11,0.0809,-13.593,0,0.27399999999999997,125.009,4,0.6609999999999999,Shadi Megallaa,430776,0,2011,2011-02-15,Giza Visa (Mikael Stavostrand Remix) - Mikael Stavostrand Remix
63,63,0.0403,0.552,215880,0.938,5S4VdGUjRKWpeIhw126ket,0.0,0,0.13699999999999998,-4.671,1,0.0464,93.88799999999999,4,0.59,Verbal Warning,215880,1,2017,2017-04-26,Tightfisted
64,64,0.0628,0.597,235160,0.737,5PstPYbqJDSW519XitJPYx,0.0,9,0.0896,-6.277,0,0.10800000000000001,78.422,4,0.6679999999999999,Volodia,235160,24,2016,2016-09-23,Premier pas
65,65,0.528,0.622,68667,0.456,7FbFVOEtcfjMNZlwklDUV8,0.703,2,0.462,-13.706,1,0.0567,95.639,4,0.706,Rodion Shchedrin,68666,5,2001,2001-01-01,Carmen Suite after Bizet's Opera: 8. Bolero
66,66,0.81,0.287,660311,0.272,1qr6W28ZuXRCa7bJLCilSi,0.875,2,0.11800000000000001,-14.44,1,0.04,100.494,4,0.14400000000000002,Modest Mussorgsky,660310,0,2016,2016-01-01,Night on Bald Mountain - Orchestrated by Nikolai Rimsky-Korsakov
67,67,0.6609999999999999,0.29100000000000004,223776,0.16899999999999998,7GZs95jJyWbZFCH5QUmWYc,3.16e-05,4,0.212,-20.02,0,0.0403,81.18,3,0.18100000000000002,Che Linh,223776,12,2001,2001-01-01,Thanh Pho Mua Bay
