,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name
0,0.829,0.0915,170620,0.217,0US0m6Qcp1sVlmAoBSA8UW,0.856,9,0.0835,-19.806,0,0.0368,86.363,4,0.269,Wilhelm Metz,170620,0,2014,2014-08-18,Der praktische Organist in D Major: Fuge mit voller Orgel
1,0.78,0.739,197533,0.513,4cgEqZJyreoqOHZszsInSt,0.0,5,0.0794,-5.843,1,0.0498,72.948,4,0.965,Jorge Velosa y Los Carrangueros,197533,10,2014,2014-04-13,Sin Dinero y Sin Calzones
2,0.0382,0.104,213995,0.621,2egsIf0TKpoHekgMSbh12v,1.85e-06,8,0.147,-14.269,0,0.0479,79.922,4,0.347,The Infamous Gehenna,213995,1,2012,2012-10-09,Amphetamine Psychosis
3,0.145,0.608,301293,0.536,2CdRKOgyQRFVoGaiHrQeiC,0.0,10,0.143,-8.201,1,0.0744,153.963,4,0.0799,Don-Tino,301293,0,2011,2011-02-25,Rims I Spin (feat. Vogue & The Xtended Don)
4,0.000279,0.681,209160,0.894,3ZNLS2cjNavn9va5d5afsq,0.22,6,0.35,-8.078,0,0.0408,122.998,4,0.893,Speechless Project,209160,0,2014,2014-11-18,Playhouse
5,0.779,0.472,98840,0.076,4GmiBSCAEJaHjl18NBpg3Z,0.00241,11,0.132,-16.548,0,0.0403,92.2,4,0.489,Tomaso Albinoni,98840,9,2016,2016-03-01,"12 Trio Sonatas, Op. 1, Sonata VIII in B Minor Talm I, 8: II. Allegro"
6,0.56,0.287,240017,0.612,5CqL60AEZZnJmywYsN5v5U,0.0,7,0.387,-7.008,1,0.0306,183.544,3,0.594,De Kroegadours,240017,0,2017,2017-07-12,Esse Wils
7,0.377,0.649,117915,0.272,6t8Z3eDeSxo3KCxzwNajga,0.0,6,0.18,-13.509,0,0.956,87.327,4,0.356,Reclam Hörbücher,117914,4,2018,2018-03-16,"Deutschland. Ein Wintermärchen - Caput VI, Teil 2"
8,0.0516,0.396,317864,0.781,0vSe0Sn5otkpzOEYLH4Ylf,0.0513,2,0.166,-5.295,1,0.0271,159.978,3,0.359,Komie,317864,1,2018,2018-06-08,Cirrus Flow
9,0.00112,0.234,728480,0.935,2U3Rf6aITR6QC9fRNrctxS,0.297,9,0.703,-6.08,0,0.18,94.433,3,0.123,Opeth,728480,35,2018,2018-11-02,Ghost of Perdition - Live
